day,post_type,caption,hashtags,image_description,cta
11,feed,"🌹 Rosas e Oud: O casal perfeito.

No coração de Taif, na Arábia Saudita, as rosas mais preciosas do mundo perfumam campos infinitos.

Quando o óleo de rosa de Taif encontra o oud — nasce algo impossível de imitar.

Floral. Amadeirado. Profundo. Único.

O nosso Attar Rosa & Oud captura exactamente isto. Link na bio.","#RoseOud #TaifRose #ArabianPerfume #AtarOil #LuxuryFragrance #RoseFragrance #OudOil #ArabicPerfume #NaturalPerfume #FloralFragrance #OrientalFragrance #MiddleEasternFragrance #FragranciaArabe #PerfumeLuxo #NicheFragrance #PerfumeCommunity #LuxuryLifestyle #FragranceLovers #ArabicRose #FlowerPerfume","Pink roses scattered around gold attar bottle on white marble, soft romantic lighting","Link na bio ✨"
12,carousel,"🏠 5 formas de usar Bakhoor em casa como um profissional.

Slide 1: Antes de receber visitas (30 min antes)
Slide 2: No quarto antes de dormir (ritual de relaxamento)
Slide 3: Na meditação ou yoga
Slide 4: Para limpar energias de espaços novos
Slide 5: Como presente para housewarming

Guarda este guia! 📌","#BakhoorTips #HomeFragrance #LuxuryHome #ArabianIncense #HomeLuxury #ArabianPerfume #OudIncense #BakhoorGuide #ArabicTradition #HomeRitual #LuxuryHomeDecor #FragranciaArabe #InclensaLuxo #MiddleEasternFragrance #OrientalFragrance #HomeScent #NaturalIncense #LuxuryLifestyle #HomeTips #FragranceCommunity","5-slide carousel: lifestyle imagery of bakhoor being used in different home scenarios","Guarda para usar!"
13,feed,"⭐ Porque é que os perfumes sem álcool duram mais?

A maioria dos perfumes ocidentais são 80-90% álcool. O álcool evapora rápido — e leva a fragrância consigo.

Os attars árabes usam óleo vegetal como base. O óleo não evapora. Prende a fragrância à pele.

Resultado: 8-12 horas de duração vs 2-4 horas de um eau de toilette típico.

Escolhe a diferença. Link na bio.","#AlcoholFreePerfume #AttarOil #NaturalPerfume #PerfumeFacts #LongLastingPerfume #ArabianPerfume #LuxuryFragrance #FragranciaArabe #PerfumeSemAlcool #PerfumeEducation #PerfumeTips #OrientalFragrance #NicheFragrance #PerfumeCommunity #CleanBeauty #NaturalFragrance #FragranceLovers #PerfumePortugal #LuxuryLifestyle #BeautyFacts","Side by side: standard perfume bottle (translucent) vs dark attar bottle, info graphic overlay","Guarda esta informação!"
14,reel,"🎁 Presente de luxo por menos do que imaginas.

O que dizes a quem já tem tudo?

Uma caixa de Oud ou Attar não é apenas um presente — é uma experiência, um ritual, uma história.

E começa em €39. 

Para aniversários, casamentos, inaugurações, ou simplesmente porque sim.

Descobre as nossas opções de presente. Link na bio. 🛍️","#LuxuryGift #GiftIdea #ArabianPerfume #OudGift #LuxuryPresent #PresentiLuxo #GiftForHim #GiftForHer #LuxuryFragrance #ArabicPerfume #NaturalPerfume #FragranciaArabe #PerfumeLuxo #GiftIdeas #UniqueGift #LuxuryLifestyle #PerfumeCommunity #SpecialGift #LuxuryGifting #GiftGuide","Beautifully wrapped luxury box with gold ribbon and Arabic calligraphy gift card","Partilha com quem te merece este presente 🎁"
15,feed,"🧬 A ciência por detrás do poder do Oud.

O óleo de Oud forma-se apenas quando a árvore Aquilaria é infectada por um fungo específico.

A árvore produz uma resina escura para se defender — esse é o Oud.

Menos de 2% das árvores Aquilaria alguma vez produzem Oud. É por isso que é mais caro que o ouro por quilograma.

O que tens na garrafa não é só perfume. É um milagre natural.","#OudFacts #AgarwoodOil #OudScience #LuxuryFragrance #ArabianPerfume #RareFragrance #OudWood #NaturalPerfume #PerfumeEducation #PreciousOud #FragranciaArabe #ArabicPerfume #NicheFragrance #FragranceLovers #LuxuryLifestyle #OudLovers #PerfumeCommunity #NatureIsAmazing #OrientalFragrance #MiddleEasternFragrance","Macro photography: agarwood tree cross-section showing dark resin formation, scientific beauty aesthetic","Guarda este post para impressionar os teus amigos!"
16,reel,"✨ Scent of the day: Attar Âmbar & Sândalo.

Segunda-feira. Reuniões importantes. Preciso de algo que transmita confiança.

Abro o Attar Âmbar & Sândalo. Uma gota no pulso. Uma no pescoço.

Quente. Profundo. Profissional.

A fragrância que não grita mas que todos notam.

Qual é o teu 'scent of the day'? Conta-me ⬇️","#ScentOfTheDay #Attar #ArabianPerfume #LuxuryFragrance #AmberFragrance #Sandalwood #MondayVibes #NaturalPerfume #AlcoholFreePerfume #FragranciaArabe #PerfumeLuxo #PerfumeCommunity #FragranceLovers #OudOil #OrientalFragrance #NicheFragrance #LuxuryLifestyle #PerfumeOfTheDay #FragranciaOriental #ArabicPerfume","Reel: close-up morning routine, attar bottle on bathroom marble, single drop application on wrist","Conta-me o teu ⬇️"
17,feed,"🕯️ Transforma a tua casa numa experiência de spa árabe.

O segredo dos spas de luxo nos Emirados não é a decoração — é o cheiro.

Bakhoor queimando suavemente, incenso de oud no ar, rosa de Taif nas velas.

Em 5 minutos, o teu espaço transforma-se. Os teus convidados vão perguntar onde compraste.

O guia completo nos stories. 👆","#HomeFragrance #LuxurySpa #ArabianHome #Bakhoor #OudIncense #HomeAmbiance #LuxuryHome #ArabianPerfume #HomeLuxury #FragranciaArabe #LuxoEmCasa #HomeDecor #LuxuryLifestyle #ArabicHome #MiddleEasternDecor #OrientalHome #NaturalFragrance #ArabianStyle #LuxuryInterior #HomeRitual","Beautifully styled living room with ornate bakhoor burner smoking elegantly, warm ambient lighting","Vê o guia nos stories! ⬆️"
18,carousel,"💼 Guia de viagem: Como viajar com os teus perfumes árabes.

Slide 1: Regras de transporte aéreo (líquidos ≤100ml)
Slide 2: Como embalar para não partir
Slide 3: Temperatura ideal de armazenamento
Slide 4: Recomendações de perfume para diferentes climas
Slide 5: Mini set de viagem — o que levar
Slide 6: Como reaplicar discretamente em movimento

Guarda este guia de viagem! ✈️","#TravelFragrance #PerfumeTips #TravelTips #ArabianPerfume #AttarTravel #LuxuryTravel #FragranceLovers #PerfumeGuide #TravelPackaging #OudTravel #FragranciaArabe #PerfumePortugal #LuxuryLifestyle #NaturalPerfume #AlcoholFreePerfume #TravelBeauty #NicheFragrance #PerfumeCommunity #FragranceTips #LuxuryTraveler","Travel flat lay: attar bottles in travel case with passport, airplane window light","Guarda para a tua próxima viagem!"
19,feed,"🌅 O ritual da manhã que vai mudar o teu dia.

06:30. O quarto ainda está escuro.

Antes de qualquer ecrã, qualquer notificação — aplico uma gota de Attar de Oud no pulso.

A fragrância acorda os sentidos melhor que o café. Lembra-me quem quero ser hoje.

É um ritual. E rituais transformam dias em vidas intencionais.

Qual é o teu ritual matinal? ⬇️","#MorningRitual #AtarOil #OudOil #MorningRoutine #ArabianPerfume #Mindfulness #LuxuryMorning #IntentionalLiving #NaturalPerfume #FragranciaArabe #PerfumeLuxo #MorningMotivation #ArabicPerfume #SlowLiving #LuxuryLifestyle #ScentTherapy #OrientalFragrance #FragranceLovers #WellnessRoutine #PerfumeCommunity","Soft morning light on bedside table with oud bottle, journal, and coffee cup","Conta-me o teu ritual ⬇️"
20,reel,"🤔 'Nunca experimentei perfume árabe — por onde começo?'

A pergunta que mais recebo. A resposta honesta:

1️⃣ Se gostas de floral → começa com Attar Rosa & Oud
2️⃣ Se gostas de amadeirado → começa com Oud Puro
3️⃣ Se gostas de especiarias → começa com Attar Âmbar
4️⃣ Para a casa → começa com Bakhoor

Responde nos comentários: 1, 2, 3 ou 4? Vou dar-te a minha recomendação pessoal 👇","#PerfumeBeginners #ArabianPerfume #OudForBeginners #AttarGuide #LuxuryFragrance #NaturalPerfume #FragranciaArabe #PerfumeLuxo #OudOil #Attar #Bakhoor #FragranceRecommendation #NicheFragrance #PerfumeCommunity #AlcoholFreePerfume #MiddleEasternFragrance #ArabicPerfume #OrientalFragrance #LuxuryLifestyle #FragranceLovers","Reel: quick cuts showing each fragrance type with text overlay, upbeat background music","Comenta 1, 2, 3 ou 4! ⬇️"
21,feed,"💛 Âmbar: A fragrância mais antiga do mundo.

O âmbar — resina fóssil de árvores com milhões de anos — foi a primeira fragrância usada pela humanidade.

Nos mercados da Pérsia antiga, o âmbar valia mais que a prata.

O nosso Attar de Âmbar captura essa história em cada gota — doce, quente, profundo, eterno.

Disponível na loja. Link na bio.","#AmberFragrance #AncientFragrance #ArabianPerfume #AttarAmbar #LuxuryFragrance #NaturalPerfume #FragranciaArabe #PerfumeLuxo #MiddleEasternFragrance #OudOil #AmberOil #OrientalFragrance #ArabicPerfume #NicheFragrance #PerfumeCommunity #FragranceHistory #LuxuryLifestyle #NaturalAmber #FragranceLovers #EternalFragrance","Golden amber resin pieces scattered around attar bottle on wooden surface, warm golden lighting","Descobre o âmbar. Link na bio."
22,reel,"👃 A experiência sensorial mais poderosa do marketing.

Sabia que 75% das nossas emoções são geradas pelo olfacto?

Quando entras num espaço com Bakhoor a queimar — o teu cérebro imediatamente associa a experiências de luxo, segurança, riqueza.

É por isso que hotéis de 5 estrelas investem milhares na sua fragrância de assinatura.

Agora podes ter o mesmo em casa por €39.","#ScentMarketing #Bakhoor #HomeFragrance #LuxuryHome #ScentScience #OudIncense #ArabianPerfume #LuxuryLifestyle #HomeLuxury #FragranciaArabe #InclensaLuxo #ScentPsychology #LuxuryExperience #ArabicHome #HomeAmbiance #MiddleEasternFragrance #NaturalIncense #LuxuryHomeDecor #ScentOfHome #FragranceCommunity","Reel: luxury hotel lobby + home setup with bakhoor, split screen comparison, elegant music","Link na bio para a tua fragrância de assinatura"
23,feed,"🎭 Por que os homens árabes usam perfume de forma diferente.

No Ocidente, o perfume é subtil, discreto, quase escondido.

No Médio Oriente, o perfume é presença. É identidade. É respeito.

Um homem árabe pode usar 3-4 camadas de fragrância: oud na pele, bakhoor nas roupas, e um perfume por cima.

É uma declaração: 'Importo-me com quem está perto de mim.'

Uma filosofia de luxo que podemos todos aprender. ✨","#MensPerfume #ArabianMen #OudForMen #MasculineFragrance #ArabianPerfume #LuxuryFragrance #MenStyle #FragranciaArabe #PerfumeLuxo #MiddleEasternCulture #ArabicTradition #MenGrooming #OrientalFragrance #NicheFragrance #PerfumeCommunity #LuxuryLifestyle #MenFashion #FragranceLovers #ArabicPerfume #MasculineLuxury","Elegant portrait-style image: man's hands with luxury oud bottle, gold watch visible, dark background","Marca um homem que merece este conselho ⬇️"
24,carousel,"👩 Os perfumes árabes e a mulher moderna.

Slide 1: Fragrâncias femininas vs. neutras — a liberdade do attar
Slide 2: Rosa & Oud — o favorito das mulheres árabes
Slide 3: Jasmine Attar — floral intenso e duradouro
Slide 4: Âmbar & Baunilha — sensual, quente, irresistível
Slide 5: Como criar a tua assinatura olfativa única
Slide 6: Combina com o teu perfume ocidental favorito

Qual te intriga mais? Comenta! ⬇️","#WomensPerfume #ArabianWomen #FeminineFragrance #AttarForWomen #ArabianPerfume #LuxuryFragrance #FragranciaArabe #PerfumeLuxo #RoseOud #JasmineAttar #AmberFragrance #WomenStyle #OrientalFragrance #NicheFragrance #PerfumeCommunity #LuxuryLifestyle #FeminineEnergy #FragranceLovers #SignatureScent #WomenLuxury","Carousel: feminine flat lays with flowers, silk, and attar bottles in soft warm tones","Comenta o teu favorito! ⬇️"
25,feed,"🌍 De Lisboa ao Dubai em duas respirações.

Há perfumes que te transportam.

O Oud puro traz o calor do deserto árabe, a madeira das florestas de Assam, a espiritualidade das mesquitas do Cairo.

Vives em Portugal mas podes viver o mundo nos teus sentidos.

Isso é o que o Oud faz. É mais que perfume — é viagem. ✈️","#OudTravel #ScentMemory #ArabianPerfume #LuxuryFragrance #TravelWithScent #OudOil #LisbonLuxury #PortugalLuxury #FragranciaArabe #PerfumeLuxo #MiddleEasternFragrance #OrientalFragrance #ArabicPerfume #NicheFragrance #ScentJourney #LuxuryLifestyle #FragranceLovers #PerfumeCommunity #SensorialExperience #TravelScent","Artistic flat lay: vintage map, compass, oud bottle, Arabic tea glass — wanderlust aesthetic","Qual lugar o teu perfume te transporta? ⬇️"
26,reel,"📱 Como eu encomendo fragrâncias árabes autênticas em Portugal.

Passo 1: Vou à nossa loja online (link na bio)
Passo 2: Escolho o meu produto — oud, attar ou bakhoor
Passo 3: Checkout seguro com Stripe
Passo 4: Recebo em casa em [X] dias

Simples. Rápido. Autêntico.

Primeira encomenda? Usa o código BOAS_VINDAS para 10% desconto 🎁","#HowToOrder #ArabianPerfume #OnlineShopping #OudPortugal #LuxuryFragrance #FragranciaArabe #PerfumeLuxo #OrderNow #LuxuryOnline #ArabicPerfume #NaturalPerfume #ShopNow #PerfumePortugal #LuxoPortugal #FragranciaLuxo #OnlineLuxury #PerfumeCommunity #ArabianAttar #NicheFragrance #ShopLuxury","Reel: screen recording style of browsing the website, adding to cart, checkout process","BOAS_VINDAS para 10% desconto!"
27,feed,"💌 Para a pessoa mais difícil de presentear.

Conheces alguém que já tem tudo. Que não precisa de mais nada. Que é impossível de surpreender.

Uma caixa de oud é o presente que ninguém espera — porque 99% das pessoas nunca experimentaram.

É raro. É luxuoso. É inesquecível.

E começa em €39. 🎁 Link na bio para ver as nossas opções de presente.","#GiftIdeas #HardToShopFor #LuxuryGift #OudGift #ArabianPerfume #LuxuryFragrance #PresentiLuxo #UniqueGift #GiftForHim #GiftForHer #LuxuryPresent #FragranciaArabe #PerfumeLuxo #SpecialGift #GiftIdea #ArabicPerfume #NaturalPerfume #PerfumeCommunity #LuxuryLifestyle #GiftGuide","Luxury gift box photography: elegant black box, gold tissue paper, oud bottle visible inside","Link na bio para surpreender alguém!"
28,reel,"🧪 Oud real vs. Oud sintético: Como saber a diferença.

O mercado está cheio de 'oud' sintético que não tem nada do original.

Teste 1: Preço — oud puro nunca é barato. €10 'oud' é sintético.
Teste 2: Evolução — oud real muda na pele ao longo de horas. Sintético fica igual.
Teste 3: Duração — oud real dura 12h+. Sintético desaparece em 2h.
Teste 4: Complexidade — oud real tem camadas. Sintético é flat.

O nosso oud passa todos estes testes. 🔬","#RealOud #SyntheticVsNatural #OudFacts #ArabianPerfume #PureOud #LuxuryFragrance #FragranciaArabe #PerfumeLuxo #NaturalPerfume #OudEducation #PerfumeEducation #NicheFragrance #PerfumeCommunity #ArabicPerfume #MiddleEasternFragrance #OrientalFragrance #LuxuryOud #FragranceLovers #OudLovers #AuthenticOud","Reel: side by side comparison of oud oil bottles, colour and viscosity differences shown","Guarda este guia para não seres enganado/a!"
29,feed,"✨ 30 dias de fragrâncias árabes. O que aprendi.

[Se tiveres algum feedback de clientes, usa aqui. Se não:]

Há 30 dias trouxemos as fragrâncias árabes de luxo para Portugal.

O que aprendi: as pessoas aqui têm uma curiosidade genuína. Querem experimentar algo diferente, algo com história, algo real.

O oud não é só um perfume. É uma janela para uma civilização.

Obrigado por esta jornada. O melhor ainda está para vir. 🙏","#ThankYou #JourneyBegins #ArabianPerfume #LuxuryFragrance #OudPortugal #FragranciaArabe #PerfumeLuxo #MonthOne #Gratitude #ArabicPerfume #NaturalPerfume #PerfumeCommunity #LuxuryLifestyle #FragranciaOriental #OrientalFragrance #NewBrand #LuxoPortugal #PerfumePortugal #NicheFragrance #FragranceLovers","Artistic brand shot: all product lineup on black marble, gold ambient lighting","Segue-nos para o que vem a seguir ✨"
30,feed,"🚀 O que vem a seguir na Al Noor.

Graças ao vosso interesse, estamos a expandir a colecção.

Nos próximos 30 dias:
→ 3 novos attars exclusivos
→ Kit de iniciação para quem nunca experimentou oud
→ Guia impresso de fragrâncias árabes
→ Novas opções de presente

A história está apenas a começar. E tu fizeste parte do início.

Segue-nos para seres o primeiro a saber. 🌙","#ComingSoon #NewCollection #ArabianPerfume #LuxuryFragrance #OudPortugal #FragranciaArabe #PerfumeLuxo #NewArrivals #NicheFragrance #ArabicPerfume #NaturalPerfume #LuxuryLifestyle #FragranciaOriental #PerfumeCommunity #LuxoPortugal #PerfumePortugal #FragranceLovers #OudOil #AtarOil #BrandGrowth","Clean editorial brand shot with teaser of new collection boxes barely visible","Activa as notificações para seres o primeiro! 🔔"
