pin_number,board,title,description,image_description,link_path,keywords
11,Fragrâncias Árabes de Luxo,Oud Puro Agarwood — A Fragrância da Realeza Árabe,"O Oud Puro de Agarwood é a fragrância mais exclusiva do planeta. Veja por que as famílias reais do Qatar, Dubai e Arábia Saudita a usam como símbolo de status e tradição. | pure oud | agarwood oil | royal arabian fragrance | luxury perfume",Dramatic dark product photography: oud oil bottle with agarwood chips and Arabic calligraphy card on dark marble,/products#oud-puro,"pure oud oil, agarwood perfume, royal arabian fragrance, luxury oud portugal"
12,Presentes de Luxo,Box de Fragrâncias Árabes — Presente Único,"A caixa de presente mais inesperada e memorável: Oud, Attar e Bakhoor numa embalagem premium de luxo árabe. Para aniversários, Natal, casamentos, ou simplesmente por amor. | arabian gift box | luxury fragrance gift | unique present | gift set portugal",Gift set photography: all three products in luxury box with Portuguese countryside background, natural light,/products,"arabian gift set, luxury fragrance box, unique gift portugal, premium perfume gift"
13,Arabian Perfumes,Rosa de Taif — A Rainha das Rosas Árabes,"As rosas de Taif, na Arábia Saudita, são as mais preciosas do mundo. O óleo de rosa de Taif combinado com Oud cria a fragrância floral mais luxuosa da história. Descobre o nosso Attar Rosa & Oud. | taif rose | rose oud | arabian rose | luxury floral fragrance",Beautiful pink rose garden with attar bottle among petals, golden hour sunlight, romantic and luxurious feel,/products#attar-rosa-oud,"taif rose perfume, rose oud attar, arabian rose fragrance, luxury floral perfume"
14,Rituais de Luxo em Casa,Spa Árabe em Casa — Guia Completo,"Transforma a tua casa numa experiência de spa de luxo árabe com fragrâncias. Bakhoor no salão, attar de rosas no banho, oud no quarto — o guia sensorial completo. | arabian spa home | luxury home fragrance | spa at home | self care routine",Luxurious bathroom/home spa setup with bakhoor burner, rose petals, candles and luxury bottles,/blog/spa-arabe-em-casa,"arabian spa home, luxury home fragrance, spa at home guide, self care with arabian scents"
15,Perfumes Sem Álcool,Attar para Pele Sensível — A Solução Natural,"Se tens pele sensível ou alergia ao álcool dos perfumes, os Attars árabes são a solução perfeita. 100% naturais, hipoalergénicos, sem irritantes. Descobre os melhores attars para pele delicada. | attar for sensitive skin | natural perfume allergies | alcohol free fragrance | hypoallergenic perfume",Soft, gentle aesthetic: attar bottle with botanical ingredients scattered around, pastel tones, clean beauty feel,/products#attar-colecao,"attar sensitive skin, natural perfume hypoallergenic, alcohol free fragrance safe, arabian perfume gentle"
16,Arabian Perfumes,O Que é Bakhoor? Guia Completo do Incenso Árabe,"Bakhoor é muito mais que incenso — é um ritual cultural, uma arte, uma tradição de hospitalidade árabe com séculos de história. Aprende tudo sobre os tipos, como usar e de onde vem. | what is bakhoor | arabian incense guide | bakhoor explained | oud incense",Atmospheric dark photography: ornate metal bakhoor burner with smoke rising artistically, golden bokeh background,/blog/o-que-e-bakhoor,"what is bakhoor, arabian incense explained, bakhoor guide, oud incense portugal"
17,Fragrâncias Árabes de Luxo,Âmbar Árabe — A Fragrância da Antiguidade,"O âmbar é uma das fragrâncias mais antigas da humanidade — resina fóssil usada nos mercados da Pérsia há 3000 anos. O nosso Attar de Âmbar captura essa essência: doce, quente, profundo, eterno. | amber fragrance | arabian amber | attar amber | ancient perfume",Golden amber resin pieces and attar bottle on wooden ancient-looking surface with warm golden light,/products#attar-ambar,"arabian amber fragrance, attar amber, ancient perfume, warm sweet fragrance natural"
18,Presentes de Luxo,Guia de Presentes de Luxo — Fragrâncias Árabes por Preço,"O guia completo de presentes de fragrâncias árabes para todos os orçamentos: €39 Bakhoor, €49 Attar, €69 Oud Puro. Qual escolher para cada ocasião? Embalagem premium incluída. | luxury gift guide | arabian perfume gift | gift by budget | premium present portugal",Clean gift guide infographic: three price tiers with product photos and occasion recommendations, gold and black,/products,"luxury gift guide arabian perfume, gift by budget portugal, premium fragrance present, unique gift ideas"
19,Decoração Árabe & Oriental,Decoração Árabe em Casa — Inspiração de Interiores,"A estética árabe e oriental nos interiores modernos europeus: padrões geométricos, cobre e latão, tecidos ricos, e obviamente — fragrâncias que completam o ambiente. Inspiração e produtos. | arabian interior design | moroccan decor | oriental home | luxury middle eastern decor",Beautifully styled room with Moroccan-inspired decor, lanterns, rich fabrics, with bakhoor burner as centrepiece,/blog/decoracao-arabe,"arabian interior design, moroccan home decor, oriental room inspiration, middle eastern decor portugal"
20,Decoração Árabe & Oriental,Queimadores de Bakhoor — Os Mais Belos para a Tua Casa,"Os queimadores de Bakhoor mais bonitos e funcionais para a decoração árabe moderna em Portugal. Do clássico árabe ao minimalista contemporâneo — como escolher o certo para o teu espaço. | bakhoor burner | arabian incense holder | home decor oriental | luxury home accessory",Flat lay of different ornate bakhoor burners from silver to gold to modern minimalist, styled on marble,/products#bakhoor,"bakhoor burner, arabian incense holder, luxury home accessory, oriental home decor"
21,Arabian Perfumes,Musk Árabe — A Fragrância Mais Íntima,"O Musk branco árabe é a fragrância da sensualidade discreta — limpo, quente, pele-sobre-pele. Usado em layering com oud e attar para criar uma assinatura olfativa única e irresistível. | white musk | arabian musk | sensual fragrance | natural musk perfume",Intimate close-up: white fabric, attar bottle, bare skin with single drop of oil, soft focus romantic lighting,/products#attar-musk,"arabian white musk, natural musk perfume, sensual fragrance natural, musk attar portugal"
22,Rituais de Luxo em Casa,O Ritual do Bakhoor para Receber Visitas — Guia Árabe,"Na cultura árabe, a hospitalidade começa pelo olfacto. Aprende o ritual completo do Bakhoor para receber visitas como um anfitrião do Golfo — timing, quantidade, e as fragrâncias certas para cada ocasião. | bakhoor hospitality | arabian hospitality | home ritual | entertain guests",Warm hospitality scene: elegant Arabic tea service with bakhoor burner smoking, welcoming home ambiance,/blog/rituais-bakhoor,"bakhoor hospitality ritual, arabian guest tradition, home fragrance guests, entertain in style"
23,Perfumes Sem Álcool,Natural vs Sintético — A Verdade dos Perfumes Modernos,"O que os fabricantes de perfumes não querem que saibas: 90% dos perfumes modernos são maioritariamente sintéticos e álcool. Como identificar perfumes 100% naturais — o guia honesto. | natural vs synthetic perfume | clean fragrance | truth about perfume | alcohol free natural",Two-column comparison infographic: conventional perfume ingredients vs natural attar ingredients, clean design,/blog/natural-vs-sintetico,"natural vs synthetic perfume, clean fragrance guide, alcohol free natural perfume, truth about perfumes"
24,Fragrâncias Árabes de Luxo,Sândalo — A Madeira Sagrada das Fragrâncias,"O sândalo de Mysore, na Índia, é uma das matérias-primas mais preciosas na perfumaria árabe e asiática. Cremoso, leitoso, quente — a base perfeita para oud e attar. Descobre os nossos blends com sândalo. | sandalwood perfume | mysore sandalwood | arabian sandalwood | natural wood fragrance",Macro photography of sandalwood chips with luxury bottle, warm earthy tones and dramatic lighting,/products#attar-sandalo,"sandalwood fragrance natural, mysore sandalwood perfume, arabian sandalwood attar, wood fragrance portugal"
25,Presentes de Luxo,Conjunto de Iniciação — O Presente Perfeito para Descobrir as Fragrâncias Árabes,"Para quem nunca experimentou fragrâncias árabes, o kit de iniciação é o presente ideal. Inclui amostras de Oud, Attar e Bakhoor com guia educativo. A primeira vez que não se esquece. | starter kit arabian perfume | fragrance discovery set | gift for perfume lover | introduction arabian scents",Elegant discovery set flat lay: mini bottles of each fragrance type in luxury presentation box with guide card,/products,"arabian perfume starter kit, fragrance discovery gift, introduction to oud, perfect first arabian perfume"
26,Arabian Perfumes,Jasmine Árabe — A Flor da Noite,"O jasmim árabe (Sambac) é diferente de qualquer jasmim que conheces — mais intenso, mais carnal, mais vivo. Capturado em attar puro, é a fragrância das noites quentes do Golfo. | jasmine attar | arabian jasmine | sambac jasmine | floral arabian fragrance",Night garden photography: white jasmine flowers in bloom with dark background, attar bottle glowing in soft light,/products#attar-jasmine,"jasmine attar perfume, arabian jasmine fragrance, sambac jasmine natural, floral alcohol free perfume"
27,Rituais de Luxo em Casa,Meditação com Fragrâncias Árabes — Guia de Bem-Estar,"As fragrâncias árabes têm sido usadas na meditação e práticas espirituais há milénios. Oud, Bakhoor e Attar como ferramentas de mindfulness — o guia para uma prática sensorial profunda. | meditation fragrance | aromatherapy oud | spiritual scent | mindfulness fragrance",Peaceful meditation scene: person seated with bakhoor smoke rising, soft morning light, mindfulness aesthetic,/blog/meditacao-fragrancias,"meditation with fragrance, oud aromatherapy, spiritual scent practice, mindfulness arabian fragrance"
28,Decoração Árabe & Oriental,Estilo Marroquino em Casa — Luz, Cor e Fragrância,"O estilo marroquino transporta-te: lanternas de cobre, mosaicos coloridos, tecidos ricos — e claro, o cheiro inconfundível do bakhoor. Como criar um salão marroquino autêntico em qualquer espaço. | moroccan interior design | moroccan home style | arabian home decor | boho luxe",Richly styled Moroccan room with lanterns, colorful tiles, plush cushions and bakhoor burner, warm golden light,/blog/decoracao-arabe,"moroccan interior design, moroccan home decor portugal, arabian style home, boho luxe decor"
29,Presentes de Luxo,Presente de Casamento Árabe — A Tradição da Fragrância,"Na cultura árabe, oferecer fragrâncias num casamento é uma das tradições mais belas. O presente que abençoa o novo lar. Descobre as nossas sugestões para presentes de casamento únicos. | wedding gift arabian | fragrance wedding gift | luxury wedding present | arabian tradition gift",Wedding gift setup: luxury box with ribbon, rose petals, oud and attar bottles, elegant calligraphy card,/products,"arabian wedding gift, fragrance wedding present, luxury unique wedding gift, oud wedding tradition"
30,Arabian Perfumes,Al Noor — A Nova Referência em Fragrâncias Árabes em Portugal,"Al Noor traz as fragrâncias árabes autênticas — Oud Puro, Attars e Bakhoor — directamente para Portugal. 100% naturais, sem álcool, em embalagem premium. A tradição milenar árabe, entregue à tua porta. | al noor perfumes | arabian fragrance portugal | luxury perfume portugal | oud portugal",Brand hero image: full product collection on black marble with gold accents, dramatic professional photography,/products,"arabian perfume portugal, luxury fragrance portugal, oud oil portugal, authentic arabian perfume shop"
